FAMILIES, ORIGINAL NAMES,PLANT HABIT,POLLEN HABIT,PROPOSED NAMES,HABIT,Nb of sp. (g.) in tropical Africa,SAME TYPES,REMARKS,REVISED NOMENCLATURE 2019
CORYLACEAE,cf. Corylus,ST,A,Corylus,deciduous large shrubs or small trees,?,,not in Lebrun & Stork,Corylus
CORYLACEAE,Ostrya,T,A,Ostrya,deciduous trees,?,,not in Lebrun & Stork,Ostrya
CUPRESSACEAE,Callitris quadrivalvis,,A,Callitris quadrivalvis-type,evergreen tree,?,,"not in Lebrun & Stork (Australie, Nlle Calédonie)",Callitris quadrivalvis-type
CUPRESSACEAE,Cupressaceae,ST,A,Cupressaceae undiff.,evregreen trees or shrubs,?,,not in Lebrun & Stork,Cupressaceae undiff.
CUPRESSACEAE,Cupressus,T,A,Cupressus-type,evergreen trees,?,"Juniperus (ST), Widdringtonia (ST)",not in Lebrun & Stork (N. Africa) Introduced and cultivated in East Africa,Cupressus-type
ELAEAGNACEAE,Hippophae,ST,A,Hippophae,trees or shrubs,?,,not in Lebrun & Stork (N. Africa),Hippophae
ELAEOCARPACEAE,Elaeocarpaceae,ST,A,Elaeocarpaceae undiff.,shrubs to tall trees,?,,not in Lebrun & Stork; Madagascar: 8 endemic sp.,Elaeocarpaceae undiff.
EMPETRACEAE,Empetrum,S,A,Empetrum,shrubs or shrublets,?,,not in Lebrun & Stork,Empetrum
FAGACEAE,Castanea,T,A,Castanea,trees up to 20-30 m,?,,not in Lebrun & Stork,Castanea
FAGACEAE,Fagaceae-like,T,A,Fagaceae undiff.,trees,?,,,Fagaceae undiff.
FAGACEAE,Fagus,T,A,Fagus,trees,?,,not in Lebrun & Stork,Fagus
FAGACEAE,Nothofagus,T,A,Nothofagus,deciduous or evergreen trees,?,,not in Lebrun & Stork,Nothofagus
FAGACEAE,Quercus,T,A,Quercus,deciduous or evergreen trees,?,,not in Lebrun & Stork,Quercus
HIPPOCASTANACEAE,Aesculus,T,A,Aesculus,trees,?,,not in Lebrun & Stork,Aesculus
JUGLANDACEAE,Carya,T,A,Carya,trees,?,,"not in Lebrun & Stork (Asie, America, cultivated)",Carya
JUGLANDACEAE,Juglandaceae,T,A,Juglandaceae undiff.,trees,?,,not in Lebrun & Stork,Juglandaceae undiff.
JUGLANDACEAE,Juglans,T,A,Juglans,trees,?,,not in Lebrun & Stork,Juglans
JUGLANDACEAE,Pterocarya,T,A,Pterocarya,trees,?,,not in Lebrun & Stork,Pterocarya
MONIMIACEAE,Ephippiandra,ST,A,Ephippiandra,"shrubs, small or  medium-sized trees",?,,not in Lebrun & Stork (Madagascar: endemic genus: 7sp.),Ephippiandra
MONIMIACEAE,Monimia t.,T,A,Monimia,trees,?,,not in Lebrun & Stork (Madagascar),Monimia
MONIMIACEAE,Monimia-type,T,A,Monimia,trees,?,,not in Lebrun & Stork (Madagascar),Monimia
MONIMIACEAE,type Phanerogonocarpus,ST,A,Phanerogonocarpus,shrubs or medium-sized trees,?,,,Phanerogonocarpus
MYRSINACEAE,Oncostenum sim.,ST,A,Oncostemum,shrubs to medium-sized trees,?,,mis-spelling; not in L & S; Madagascar: endemic genus: 100 sp.,Oncostemum
MYRTACEAE,Eucalyptus,ST,A,Eucalyptus-type,trees or shrubs,?,"Syzygium (ST), Eugenia (ST), Psidium (ST)","Introduced (Australia), cultivated as ornamental plants, for afforestation as a quick-growing tree with hard wood",Eucalyptus-type
OCHNACEAE,type Diporidium,ST,A,Diporidium,trees and shrubs,?,,"not in Lebrun & Stork (Madagascar, Natal ?)",Ochna
OLEACEAE,Fraxinus,ST,A,Fraxinus,trees or shrubs,?,,cultivated (Algérie),Fraxinus
OLEACEAE,Ligustrum,S,A,Ligustrum,shrubby trees,?,,cultivated (Algérie),Ligustrum
OLEACEAE,Noronhia,ST,A,Noronhia,trees and shrubs,?,,not in Lebrun & Stork (Madagascar),Noronhia
OLEACEAE,Phillyrea,ST,A,Phillyrea,evergreen trees or shrubs,?,,not in Lebrun & Stork (N. Africa),Phillyrea
OLEACEAE,Phillyrea sp,ST,A,Phillyrea,evergreen trees or shrubs,?,,not in Lebrun & Stork (N. Africa),Phillyrea
OLEACEAE,Picconia,T,A,Picconia,trees,?,,"not in Lebrun & Stork (Canaries, Azores, Madeire)",Picconia
OLEACEAE,Syringa,S,A,Syringa,shrubs,?,,"not in Lebrun & Stork (originaire de Perse, introduit)",Syringa
PINACEAE,Pinaceae cf. Cathaya,T,A,Cathaya,trees,?,,not in Lebrun & Stork (China),Cathaya
PINACEAE,Cedrus,T,A,Cedrus,tall trees,?,,not in Lebrun & Stork (N. Africa),Cedrus
PINACEAE,Pinaceae,T,A,Pinaceae undiff.,trees,?,,not in Lebrun & Stork,Pinaceae undiff.
PINACEAE,Pine,T,A,Pinus,trees,?,,"not in Lebrun & Stork (N. Africa), introduced in East Africa for afforestation",Pinus
PLATANACEAE,Plantanus,T,A,Platanus,trees,?,,mis-spelling; not in Lebrun & Stork; cultivated (Ethiopia),Platanus
PODOCARPACEAE,Podacarpus,ST,A,Podocarpus,evergreen trees or shrubs,?,Afrocarpus,mis-spelling; not in Lebrun & Stork; Madagascar: 4-5 sp.,Podocarpus-type
PODOCARPACEAE,Podocarpaceae,ST,A,Podocarpus,evergreen trees or shrubs,?,,not in Lebrun & Stork; Madagascar: 4-5 sp.,Podocarpus-type
PROTEACEAE,Leucadendron,ST,A,Leucadendron-type,evergreen shrubs or small trees 1-16 m tall,?,,not in Lebrun & Stork (South Africa),Leucadendron-type
RUSCACEAE,Ruscus-type,S,A,Ruscus-type,evergreen shrub 1 m tall,?,,not in Lebrun & Stork (Mediterr.),Ruscus-type
RUTACEAE,Adenandra,S,A,Adenandra,evergreen shrub 4.5 m tall,?,,not in Lebrun & Stork (South Africa),Adenandra
SALICACEAE,Populus,ST,A,Populus,trees or shrubs,?,,"introduced, cultivated",Populus
SAPINDACEAE,Harpulia-type,T,A,Harpullia-type pendula,A small to medium sized tree attaining a height of 20 metres,?,,introduit (Austarlie),Harpullia-type pendula
SARCOLAENACEAE,Sarcolaenaceae,ST,A,Sarcolaenaceae undiff.,shrubs or trees,?,,"not in Lebrun & Stork (Madagascar: 8 endemic g., 58 sp.)",Sarcolaenaceae undiff.
TAXACEAE,cf. Taxus,ST,A,Taxus,evergreen tree or shrub,?,,,Taxus
TAXODIACEAE,Taxodiaceae,T,A,Taxodiaceae undiff.,medium-sized to giant trees,?,,not in Lebrun & Stork,Taxodiaceae undiff.
THEACEAE,Asteropeia,T,A,Asteropeia,trees,?,,,Asteropeia
TILIACEAE,Elaeocarpus,ST,A,Elaeocarpus,trees or shrubs,?,,"introduced (Asia, Austr., Pac.)",Elaeocarpus
TILIACEAE,Tilia,T,A,Tilia,deciduous trees,?,,not in Lebrun & Stork ,Tilia
ULMACEAE,Ulmus,T,A,Ulmus,deciduous trees,?,,not in Lebrun & Stork (N. Africa),Ulmus
ULMACEAE,Zelkova,T,A,Zelkova,deciduous trees,?,,not in Lebrun & Stork (N. Africa),Zelkova
ZAMIACEAE,Encephalartos,ST,A,Encephalartos,"trees or shrubs, rarely branched",?,,not in Lebrun & Stork,Encephalartos
APOCYNACEAE,type Plectaneia,SL,AL,Plectaneia-type,climbing shrubs or lianas,?,,not in Lebrun & Stork (Madagascar),Plectaneia-type
MONIMIACEAE,Tanbourissa,ST(L),AL,Tambourissa,"trees, shrubs or lianes",?,,mis-spelling,Tambourissa
LORANTHACEAE,type Bakerella,S(p),Ap,Bakerella-type,"epiphyttic shrubs, hemiparasitic on stems  of woody Dicotyledons",?,,not in Lebrun & Stork (Madagascar),Bakerella-type
PAEONIACEAE,Paeonia,HS,I,Paeonia,herbs or shrubs,?,,,Paeonia
ARALIACEAE,Hedera,L,L,Hedera,root climber,?,,introduit,Hedera
ARALIACEAE,Hedera (Africa),L,L,Hedera,root climber,?,,introduit,Hedera
AIZOACEAE,Drosanthenum-type,H,N,Drosanthemum-type,evrgreen creeping plant,?,,not in Lebrun & Stork (South Africa); mis-spelling,Drosanthemum-type
AIZOACEAE,Ruschia,H,N,Ruschia,succulent herbs or subshrubs,?,,not in Lebrun & Stork (South Africa),Ruschia
AIZOACEAE,Ruschia-type,H,N,Ruschia,succulent herbs or subshrubs,?,,not in Lebrun & Stork (South Africa),Ruschia
APIACEAE,Biflora,H,N,Bifora,herbs,?,,mis-spelling; not in Lebrun & Stork,Bifora
APIACEAE,Smyrnium,H,N,Smyrnium,herbs,?,,not in Lebrun & Stork,Smyrnium
APIACEAE,Tordylium,H,N,Tordylium,herbs,?,,not in Lebrun & Stork,Tordylium
ASTERACEAE,Bellis-type,H,N,Bellis-type,annual or perennial herbs (ASTERACEAE),?,Asteriscus hierichunticus ?,not in Lebrun & Stork,Bellis-type
BORAGINACEAE,Pulmonaria cf,H,N,Pulmonaria,perennial herbs,?,,not in Lebrun & Stork,Pulmonaria
BORAGINACEAE,Pulmonaria-type,H,N,Pulmonaria,perennial herbs,?,,not in Lebrun & Stork,Pulmonaria
BRASSICACEAE,type Schouwia purpurea,H,N,Schouwia-type purpurea,annual herb,?,,,Schouwia-type purpurea
CYPERACEAE,Scirpus,H,N,Scirpus,perennial herbs,?,,not in tropical Africa L & S (N. Africa),Scirpus
HYACINTHACEAE,t.Muscari,H,N,Muscari-type,herbs with bulbs,?,,not in Lebrun & Stork,Muscari-type
LENTIBULARIACEAE,Pinguicula-type,H,N,Pinguicula-type,erect annual or perennial  herbs,?,,not in Lebrun & Stork ,Pinguicula-type
PLUMBAGINACEAE,Armeria,H,N,Armeria-type,perennial herbs,?,"Limonium (HS), Limoniastrum (S) ?",not in Lebrun & Stork (N. Africa),Armeria-type
POLEMONIACEAE,Polemonium,H,N,Polemonium,annual to perennial herbs,?,,not in Lebrun & Stork,Polemonium
ROSACEAE,Poterium-type,H,N,Poterium-type,"perennial herbs, 0.20-0.60 cm high",?,,not in Lebrun & Stork; syn. Sanguisorba minor?,Sanguisorba-type
SCROPHULARIACEAE,type Peplidium,H,N,Peplidium-type,herbs,?,,not in Lebrun & Stork (Egypt),Peplidium-type
ZYGOPHYLLACEAE,Peganum,H,N,Peganum,erect perennial herbs or subshrubs,?,,not in Lebrun & Stork (N. Africa),Peganum
FABACEAE,Phaseolus,H(L),NL,Phaseolus,"herbs or subshrubs, erect, prostrate or climbing",?,,introduced,Phaseolus
LYTHRACEAE,t.Peplis,Ha,Nq,Peplis-type,annual oe perennial herbs,?,,,Lythrum
ARECACEAE,Phloga,PA,PA,Phloga,trre palms,?,,not in Lebrun & Stork (Madagascar) ,Dypsis
ARECACEAE,Ravanea-type,PA,PA,Ravenea-type,tall robust palm up to 25 m high,?,,mis-spelling; not in Lebrun & Stork (Madagascar),Ravenea-type
PALMAE,Colpothrinax,PA,PA,Colpothrinax,tree palms,?,,Native to Central America and the Carribean - not in Lebrun & Stork,Colpothrinax
***AYTONIACEAE,Asterella,B,Sb,Asterella,tallose liverwort,?,,not in Lebrun & Stork,Asterella
***AYTONIACEAE,Reboulia,B,Sb,Reboulia,livewort,?,,not in Lebrun & Stork,Reboulia
***BRYOPHYTA,Bryophytes,B,Sb,Bryophyta undiff.,"mosses, liverworts and hornworts",?,,not in Lebrun & Stork,Bryophyta undiff.
***FOSSOMBRONIACEAE,Fossombronia,B,Sb,Fossombronia,liverwort,?,,not in Lebrun & Stork,Fossombronia
***SPHAGNACEAE,Sphagnum,Ba,Sb,Sphagnum,aquatic mosses,?,,not in Lebrun & Stork,Sphagnum
***SPHAGNACEAE,Sphagnuum,Ba,Sb,Sphagnum,aquatic mosses,?,,mis-spelling; not in Lebrun & Stork,Sphagnum
**LYCOPODIACEAE,cf Lycopodiella,F,Sp,Lycopodium,terrestrial herbaceous ferns,?,(4 sp. FG;  2 sp. FCBBR; 2 sp. FTEA),syn.; not in Lebrun & Stork,Lycopodium
*ADIANTACEAE,Adianthum-type,F,Sp,Adiantum,"terrestrial, small to medium ferns",?,(15 sp. native or naturalized FTEA; 1 sp. FG),mis-spelling; not in Lebrun & Stork,Adiantum
*ADIANTACEAE,Adiantum,F,Sp,Adiantum,"terrestrial, small to medium ferns",?,(15 sp. native or naturalized FTEA; 1 sp. FG),not in Lebrun & Stork,Adiantum
*ADIANTACEAE,cf. Adiantum,F,Sp,Adiantum,"terrestrial, small to medium ferns",?,(15 sp. native or naturalized FTEA; 1 sp. FG),not in Lebrun & Stork,Adiantum
*ADIANTACEAE,Annogramma leptophylla,F,Sp,Anogramma leptophylla,"terrestrial fern, 2.5-10(-23) cm tall",?,(1 sp. FTEA; not in FG),mis-spelling; not in Lebrun & Stork,Anogramma leptophylla
*ADIANTACEAE,Anogramma leptophylla,F,Sp,Anogramma leptophylla,"terrestrial fern, 2.5-10(-23) cm tall",?,(1 sp. FTEA; not in FG),not in Lebrun & Stork,Anogramma leptophylla
*ADIANTACEAE,cf. Cheilanthes,F,Sp,Cheilanthes,terrestrial ferns,?,(11 sp. FTEA),not in Lebrun & Stork,Cheilanthes
*ADIANTACEAE,Gymnogramma,F,Sp,Gymnopteris,terrestrial ferns,?,,not in Lebrun & Stork; syn. (KEW),Gymnopteris
*ADIANTACEAE,Pellaea,F,Sp,Pellaea,terrestrial ferns,?,(10 sp.  FTEA; 2 sp. FG) (S. Africa/Madagascar),not in Lebrun & Stork,Pellaea
*ADIANTACEAE,Pityrogramma,F,Sp,Pityrogramma,terrestrial ferns,?,(3 sp. FTEA; 1 sp.FG),not in Lebrun & Stork,Pityrogramma
*ASPIDIACEAE,Dryopteridaceae,F,Sp,Aspidiaceae undiff.,terrestrial ferns,?,,,Aspidiaceae undiff.
*ASPLENIACEAE,Asplenium-type,F(ep),Sp,Asplenium,terrestrial or epiphytic ferns,?,(21 sp. in FG),not in Lebrun & Stork,Asplenium
*DAVALLIACEAE,Davaliaceae,Fep,Sp,Davalliaceae undiff.,epiphitic (rarely terestrial) ferns,?,(5 g. FG; 2 g. FCBBR),mis-spelling; not in Lebrun & Stork,Davalliaceae undiff.
*DAVALLIACEAE,Davallia,Fep,Sp,Davallia-type,epiphytic fern (Elaeis),?,"(1 sp. FG and FCBBR); Nephrolepis, Polypodium",not in Lebrun & Stork,Davallia-type
*DENNSTAEDTIACEAE,Type Microlepia speluncae,F,Sp,Microlepia speluncae,perennial fern,?,,"not in Lebrun & Stork (orginate of Asia, India)",Microlepia speluncae
*GRAMMITIDACEAE,Gramatis,Fep,Sp,Grammitis,epiphytic fern,?,(not in FG) (6 g. and 4 sp. FTEA),mis-spelling; not in Lebrun & Stork,Grammitis
*GRAMMITIDACEAE,Gramitis,Fep,Sp,Grammitis,epiphytic fern,?,(not in FG) (6 g. FTEA) (4 sp. FTEA),mis-spelling; not in Lebrun & Stork,Grammitis
*OLEANDRACEAE,Nephrolepis,F(ep),Sp,Nephrolepis-type,terrestrial or epiphytic ferns (Elaeis),?,"(3 sp. In FG); Davallia, Polypodium",not in Lebrun & Stork,Nephrolepis-type
*OLEANDRACEAE,Nephrolepis biserrata,F(ep),Sp,Nephrolepis-type biserrata,terrestrial or epiphytic fern (Elaeis),?,"(3 sp. In FG); Davallia, Polypodium",not in Lebrun & Stork,Nephrolepis-type biserrata
*OLEANDRACEAE,Type Nephrolepis biserrata,F(ep),Sp,Nephrolepis-type biserrata,terrestrial or epiphytic fern (Elaeis),?,"(3 sp. In FG); Davallia, Polypodium",not in Lebrun & Stork,Nephrolepis-type biserrata
*OPHIOGLOSSACEAE,Ophioglossales,F(ep),Sp,Ophioglossaceae undiff.,"terrestrial, raley epiphytic, ferns",?,(1 g. in FG),not in Lebrun & Stork,Ophioglossaceae undiff.
*OPHIOGLOSSACEAE,Ophiglossum,F(ep),Sp,Ophioglossum,"terrestrial, raley epiphytic, ferns",?,(14 sp. FTEA; 2 sp. in FG),mis-spelling; not in Lebrun & Stork,Ophioglossum
*OSMUNDACEAE,Osmunda,F,Sp,Osmunda,terrestrial ferns,?,(not in FG) 1 sp. Regalis in FZ,not in Lebrun & Stork,Osmunda
*OSMUNDACEAE,Osmundaceae,F,Sp,Osmundaceae undiff.,terrestrial ferns,?,(not in FG; 1 sp. FCBBR),not in Lebrun & Stork,Osmundaceae undiff.
*OSMUNDACEAE,Todea,F,Sp,Todea,terrestrial ferns,?,(not in FG),not in Lebrun & Stork,Todea
*POLYPODIACEAE,Microsorium puctatum,Fep,Sp,Microsorium punctatum,epiphytic fern,?,~40 sp. Africa (FG) (2 sp. in FTEA; 1 sp. in FG),mis-spelling; not in Lebrun & Stork,Microsorium punctatum
*POLYPODIACEAE,Microsorium punctatum,Fep,Sp,Microsorium punctatum,epiphytic fern,?,~40 sp. Africa (FG) (2 sp. in FTEA; 1 sp. in FG),not in Lebrun & Stork,Microsorium punctatum
*POLYPODIACEAE,T. Platycerium,Fep,Sp,Platycerium-type,large epiphytic fern,?,(3 sp. in FTEA; 2 sp. in FG),not in Lebrun & Stork,Platycerium-type
*POLYPODIACEAE,Type Platycerium,Fep,Sp,Platycerium-type,large epiphytic fern,?,(3 sp. in FTEA; 2 sp. in FG),not in Lebrun & Stork,Platycerium-type
*POLYPODIACEAE,Cf Polypodiaceae,Fep,Sp,Polypodiaceae undiff.,"epiphytic, more rarely terrestrial ferns",?,(11 g. in FTEA; 8 g. in FG),not in Lebrun & Stork,Polypodiaceae undiff.
*POLYPODIACEAE (Kew: DIPTERIDACEAE ?),T. Phymatodes scolopendria,F(ep),Sp,Phymatodes scolopendria,epiphytic (Elaeis) or epilithic fern,?,FTEA: syn. Phymatosorus scolopendria; KEW: syn. Dipteris,not in Lebrun & Stork,Phymatodes scolopendria
*PTERIDACEAE,Acrostichum,F(a),Sp,Acrostichum,terrestrial or swamp-loving fern,?,(1 sp. in FTEA; 2 sp. in FG),not in Lebrun & Stork,Acrostichum
*PTERIDACEAE,Pteridaceae undiff.,F(a),Sp,Pteridaceae undiff.,terrestrial or swamp-loving ferns,?,,not in Lebrun & Stork,Pteridaceae undiff.
*PTERIDACEAE,Pteridium,F,Sp,Pteridium-type,terrestrial fern,?,(Kew = Pteris) ? (2 sp. in FG) classé dans les Dennstaedtiaceae dans FTEA,not in Lebrun & Stork,Pteridium-type
*PTERIDACEAE,Pteris,F,Sp,Pteris-type,terrestrial fern,?,?,not in Lebrun & Stork,Pteris-type
*SCHIZAEACEAE,Anemia-type,F,Sp,Anemia-type,terrestrial ferns,?,"Mohria (2 sp. FTEA, not in FG; 1 sp. FCBBR)",not in Lebrun & Stork,Anemia-type
*SCHIZAEACEAE,Lycodium,F,Sp,Lygodium,"terrestrial ferns, fronds climbing",?,(2 sp. FTEA; 2 sp. FG; 2 sp. FCBBR),mis-spelling; not in Lebrun & Stork,Lygodium
*SCHIZAEACEAE,Mohria,F,Sp,Mohria-type,terrestrial ferns,?,Anemia (3 sp. FTEA; not in FG; 2 sp. FCBBR),not in Lebrun & Stork,Mohria-type
*SCHIZAEACEAE,Mohria-type,F,Sp,Mohria-type,terrestrial ferns,?,Anemia (3 sp. FTEA; not in FG; 2 sp. FCBBR),not in Lebrun & Stork,Mohria-type
*SCHIZAEACEAE,Schizea confusa,F,Sp,Schizaea confusa-type,terrestrial ferns,?,"(not in FG, FTEA, FCBBR, FZ)",mis-spelling; not in Lebrun & Stork,Schizaea confusa-type
*SCHIZAEACEAE,Schizea confusa-type,F,Sp,Schizaea confusa-type,terrestrial ferns,?,"(not in FG, FTEA, FCBBR, FZ)",mis-spelling; not in Lebrun & Stork,Schizaea confusa-type
*THELYPTERIDACEAE,T. Cyclosorus afer,F,Sp,Cyclosorus-type afer,terrestrial ferns,?,,not in Lebrun & Stork,Cyclosorus-type afer
*THELYPTERIDACEAE,Thelypteris,F,Sp,Thelypteris,terrestrial ferns,?,pas dans FG,not in Lebrun & Stork,Thelypteris
*WOODSIACEAE ,Cystopteris,F,Sp,Cystopteris,"small to medium-sized ferns, terrestrial or often growing on rocks",?,( 1 sp. FTEA; not in FG),not in Lebrun & Stork,Cystopteris
EPHEDRACEAE,Ephedera,SL,AL,Ephedra,shrubs or lianes,? (1 g.),Welwitchia ?,mis-spelling; not in Lebrun & Stork (N. Africa),Ephedra
EPHEDRACEAE,Ephedra,SL,AL,Ephedra,shrubs or lianes,? (1 g.),Welwitchia ?,not in Lebrun & Stork (N. Africa),Ephedra
*MARSILEACEAE,Marsilea,Fa,Sp,Marsilea,aquatic or semi-aquatic ferns,? (1 g.),(not in FG; 3 sp. FCBBR; 11 sp. FTEA),not in Lebrun & Stork ,Marsilea
*PARKERIACEAE,Ceratopteris,Fa,Sp,Ceratopteris,annual aquatic ferns,? (1 g.),(1 sp. in FG and FCBBR),not in Lebrun & Stork,Ceratopteris
*SALVINIACEAE,Salvinia,Fa,Sp,Salvinia,floating aquatic fern,? (1 g.),(2 sp. FTEA; 1 sp. FG)),not in Lebrun & Stork,Salvinia
**EQUISETACEAE,Equisetum,,Stp,Equisetum,terrestrial or swampy rhizomatous perennial plants,? (1 g.),(1 sp. FCBBR),not in Lebrun & Stork,Equisetum
SAXIFRAGACEAE,Saxifragacees,H,N,Saxifragaceae undiff.,annual or perennial herbs,? hors tropics,,,Saxifragaceae undiff.
BURSERACEAE,Aucoumea klaineana,,A,Aucoumea klaineana,"Tree, dioecious, 35-50 (-60) m",1 sp,,,Aucoumea klaineana
AQUIFOLIACEAE,Cf Ilex,T(S),A,Ilex mitis,"evergreen shrub, or more usually a tree 4--24(-40) m tall",1 sp (1 g.),,,Ilex mitis
CARYOPHYLLACEAE,Gymnocarpos,S,A,Gymnocarpos decandrum,"shrubby tree, stems 10-30 cm",1 sp .,,mis-spelling,Gymnocarpos decandrus
AMARANTHACEAE,Nucularia,S,A,Nucularia perrini,shrubby tree,1 sp.,,,Nucularia perrini
AMARANTHACEAE,Fadenia-type zygophhylloides,S,A,Fadenia zygophylloides,low shrub to 30 cm high,1 sp.,,mis-spellling,Salsola zygophylloides
ANACARDIACEAE,Anacardium,ST,A,Anacardium occidentale,shrub or tree up to 10 m high,1 sp.,,"introduced (Carribean region and Brazil), cultivated for its fruits (Cashew)                                                           ",Anacardium occidentale
ANACARDIACEAE,cf Gluta tourtour,T,A,Gluta tourtour,tree,1 sp.,,not in Lebrun & Stork (Madagascar: 1 sp.),Gluta tourtour
ANACARDIACEAE,Haematostaphis,T,A,Haematostaphis-type barteri,tree to 7.5 m high,1 sp.,"some Pseudospondias (ST), Rhus (ST(L))",,Haematostaphis-type barteri
ANACARDIACEAE,Mangifera,T,A,Mangifera indica,evergreen dense crowned tree reaching until 40 m,1 sp.,,"introduced (India), cultivated for its fruits (Mango)",Mangifera indica
ANISOPHYLLEACEAE,Anopyxis,T,A,Anopyxis klaineana,large tree to 45 m high,1 sp.,,,Anopyxis klaineana
ANNONACEAE,Cananga,T,A,Cananga odorata,tree 6-18 (-33) m tall,1 sp.,,"introduced, cultivated",Cananga odorata
APOCYNACEAE,Thevetia sp.,T,A,Cascabela thevetia,tree,1 sp.,,syn. C. thevetia; introduced (tropical America),Cascabela thevetia
APOCYNACEAE,Picralima-type,ST,A,Picralima-type nitida,tree or shrub 3-23 m high,1 sp.,some Hunteria (ST(L)),,Picralima-type nitida
ASTERACEAE,Chromolaena,S,A,Chromolaena-type odorata,"shrub, branched stems up to 2.5 m (EUPATORIEAE)",1 sp.,many Asteraceae undiff. (HS(TL)),introduced,Chromolaena-type odorata
BIGNONIACEAE,Kigelia-type,T,A,Kigelia africana,medium or tall tree up to 25 m high,1 sp.,,largely cultivated,Kigelia africana
BIGNONIACEAE,Newbouldia,T,A,Newbouldia laevis,"tree, up to 12 m high",1 sp.,,,Newbouldia laevis
BIGNONIACEAE,Spathodea,T,A,Spathodea-type campanulata,"tree, 20 m high",1 sp.,some Stereospermum (T),"cultivated ornemental tree, African Tulip Tree",Spathodea-type campanulata
BOMBACACEAE,Adansonia,T,A,Adansonia ,"soft-wooded trees, often of great girth",1 sp.,,Madagascar: 6 endemic sp. (+1),Adansonia 
BOMBACACEAE,Ceiba,T,A,Ceiba pentandra,"deciduous tree, spiny to 35 (-50) m",1 sp.,,(Kapok fibre),Ceiba pentandra
BORAGINACEAE,Moltiokpsis-type,S,A,Moltkiopsis ciliata,small suffutescent shrub 20 cm high,1 sp.,,mis-spelling,Moltkiopsis ciliata
CACTACEAE,Rhipsalis cassutha,S(ep),A,Rhipsalis baccifera,epiphytic or rock-dwelling perennial succulent shrub 1-3 (-9) m long,1 sp.,,mis-spelling; syn. ?,Rhipsalis baccifera
CAESALPINIACEAE,Baphiopsis,ST,A,Baphiopsis parviflora,unarmed evergreen shrub or small tree 2.5-15 m high,1 sp.,,,Baphiopsis parviflora
CAESALPINIACEAE,Burkea,T,A,Burkea africana,unarmed tree 4-20 m high,1 sp.,,,Burkea africana
CAESALPINIACEAE,Ceratonia,T,A,Ceratonia oreothauma,tree,1 sp.,,,Ceratonia oreothauma
CAESALPINIACEAE,Cercis,T,A,Cercis,trees,1 sp.,,,Cercis
CAESALPINIACEAE,Distemonanthus benthamianus-type,T,A,Distemonanthus benthamianus,tree to 36 m high,1 sp.,,,Distemonanthus benthamianus
CAESALPINIACEAE,Pellegriniodendon diphyllum,T,A,Pelligriniodendron-type diphyllum,understorey tree to 24 m high,1 sp.,"some Gilbertiodendron (T), Isoberlinia (T), Isomacrolobium (ST), Berlinia (T), Lebruniodendron leptanthum (T), Neochevalierodendron stephanii (T)",mis-spelling,Gilbertiodendron-type diphyllum 
CAESALPINIACEAE,Colophospermum mopane,T,A,Colophospermum mopane,non climbing tree,1 sp.,,,Hardwickia mopane
CAESALPINIACEAE,Hylodendron gabunense,T,A,Hylodendron gabunense,tree 20-30 m tall,1 sp.,,,Hylodendron gabunense
CAESALPINIACEAE,Leonardoxa-type,ST,A,Leonardoxa,trees or shrubs,1 sp.,,,Leonardoxa-type africana
CAESALPINIACEAE,Paramacrolobium,T,A,Paramacrolobium coeruleum,"unarmed evergreen tree 5-40 m high, usually 5-15 m",1 sp.,,,Paramacrolobium coeruleum
CAESALPINIACEAE,Sindora,T,A,Sindora klaineana,tree,1 sp.,,,Sindora klaineana
CAESALPINIACEAE,cf. Tamarindus indica,T,A,Tamarindus-type indica,unarmed evergreen tree 3-24 m high,1 sp.,"some Hymenostegia (ST), Scorodoploeus zenkeri (T), Hymenaea verrucosa (T)",,Tamarindus-type indica
